article_id,PMID,Id_review_ROBIS,RoB_ROBIS,AMSTAR_consensus,AMSTAR_levels,amstar_robis,Flesch_Kincaid_Reading_Ease_Level,Gunning_Fog_Index,Coleman_Liau_Index,SMOG_Index,Automated_Readability_Index,Average_Grade_Level,Flesch_Kincaid_Reading_Ease_Score,Spache_Score,New_Dale_Chall_Score,Reading_Time,Speaking_Time,PEA1,PEA2,PEA3,PEA4,PEA5,PEA6,PEA7,PEA8,PEA9,PEA10,PEA11,PEA12,total_score,number_of_cites_Google_Scholar,journal,year,Country,num_authors,num_institutions,funding,cochrane_affiliation,funding_academic,funding_industry,funding_non_pharma_companies,conflict_of_interest,conflict_of_interest_authors,countries_authors,page_count,log_page_count,class_of_study,metaanalysis_included,economic_analysis_included,journal_PRISMA_endorsement,abstract_format,abstract_word_count,journal,year,Total cites,journal_impact_factor,Impact factor without,5 year Impact factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-Life,Eigenfacto Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,Average JIF Percentile,Q/D
55,25270995,55,HIGH,6,moderate_quality,HighRisk_HighQuality,16.7,21,18.4,17.5,16.4,18,8.1,5.9,8.8,38,70,1,1,0,1,0,1,0,1,0,1,0,0,6,1,Acta Dermato-Venereologica,2015,Sweden,6,5,UNK,no,0,0,0,1,16,1,6,2.58,RCTs & observational studies,No,No,no,free,149,Acta Dermato-Venereologica,2015,4665,3.368,3.333,4.042,0.891,128,8.8,7.7,0.00765,1.529,89.06,0.87215,87.705,Q1
202,22278662,202,HIGH,5,moderate_quality,HighRisk_HighQuality,13.7,18.3,15.2,16.1,12.8,15.2,25.4,5.3,8.8,114,206,1,1,1,1,0,1,0,1,0,1,0,0,7,11,Acta Dermato-Venereologica,2012,Sweden,4,2,UNK,no,0,0,0,,NA,2,7,2.81,observational studies,No,No,no,free,165,Acta Dermato-Venereologica,2012,4131,3.487,3.293,3.792,0.782,78,>10,8.1,0.00761,1.194,85.9,NA,87.288,Q1
42,26547912,42,HIGH,6,moderate_quality,HighRisk_HighQuality,15.9,19.9,18.8,17.2,16.3,17.6,12,5.9,9.7,65,117,1,1,1,1,1,1,0,1,1,1,0,0,9,2,Advances in Therapy,2015,United States,10,10,funding,no,0,1,0,10,100,1,46,5.52,observational studies,No,No,no,IMRAD ,92,Advances in Therapy,2015,1745,2.503,2.434,2.439,0.568,88,4.9,5.6,0.00408,0.657,76.14,0.46454,54.74,Q2
130,24496885,130,HIGH,2,low_quality,HighRisk_LowQuality,15.3,19.3,15.7,16.9,14.7,16.4,19.6,5.5,9.2,67,120,0,1,0,1,0,0,0,1,1,1,0,0,5,12,American Journal of Clinical Dermatology,2014,United Kingdom,3,3,funding,no,0,1,0,1,33,1,16,4,RCTs & Srs,No,No,no,IMRAD ,256,American Journal of Clinical Dermatology,2014,1533,2.725,2.625,2.357,0.51,51,8.1,7,0.00254,0.664,47.06,0.28445,80.159,Q1
178,23572293,178,HIGH,6,moderate_quality,HighRisk_HighQuality,11.9,16.3,12,15.2,14,13.9,53.6,5.3,9,176,317,1,1,1,0,0,1,0,1,0,1,0,0,6,29,American Journal of Clinical Dermatology,2013,United Kingdom,5,4,No funding,no,0,0,0,,NA,2,23,4.52,RCTs,Yes,No,no,IMRAD ,441,American Journal of Clinical Dermatology,2013,1546,2.519,2.467,2.378,0.409,44,8,7.7,0.00299,0.707,50,0.32978,81.148,Q1
260,19824740,260,HIGH,1,low_quality,HighRisk_LowQuality,12.3,16.6,17.4,15,14.6,15.2,35.1,5.6,10.6,68,122,0,1,0,0,0,0,0,1,0,1,0,0,3,35,American Journal of Clinical Dermatology,2009,United Kingdom,2,1,funding,no,0,1,0,1,50,1,10,3.32,RCTs,No,No,no,free,272,American Journal of Clinical Dermatology,2009,1362,1.844,1.77,1.93,0.306,36,7.7,9.3,0.00293,0.617,41.67,NA,65.254,Q2
26,26308328,26,HIGH,4,low_quality,HighRisk_LowQuality,15.2,18.2,16.7,16.4,17.1,16.7,27,6.1,9.6,73,132,0,1,1,1,0,1,1,1,0,1,0,0,7,1,American Journal of Therapeutics,2016,United States,3,1,UNK,no,0,0,0,,NA,1,8,3,observational studies,Yes,No,no,free,276,American Journal of Therapeutics,2016,1336,1.132,1.128,1.076,0.447,85,6.9,9,0.00245,0.301,84.71,0.27873,15.49,Q4
316,26467356,316,HIGH,7,moderate_quality,HighRisk_HighQuality,12.4,16.9,14.9,15,12.6,14.4,34.8,5.6,8.4,64,115,1,1,1,0,0,1,1,1,0,0,0,0,6,17,Anatolian Journal of Cardiology,2016,Italy,3,3,UNK,no,0,0,0,0,0,1,9,3.17,,Yes,No,no,IMRAD ,248,Anatolian Journal of Cardiology,2016,817,1.141,0.713,0.846,0.828,145,3.2,7.5,0.0014,0.162,96.55,0.159,20.56,Q4
32,26783352,32,HIGH,4,low_quality,HighRisk_LowQuality,16.3,19.3,15.7,17.3,14,16.5,9.7,5.7,9.1,66,119,1,1,1,1,0,1,1,1,0,1,0,0,8,2,Annals of Pharmacotherapy,2016,United States,4,1,No funding,no,0,0,0,0,0,1,11,3.46,RCTs,Yes,No,no,IMRAD ,246,Annals of Pharmacotherapy,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,25561362,59,HIGH,10,high_quality,HighRisk_HighQuality,11,16.5,13.6,15.1,12.6,13.8,48.9,5.4,10,69,124,1,1,1,1,0,1,1,1,0,1,0,0,8,84,Annals of the Rheumatic Diseases,2015,United Kingdom,17,more10,funding,no,0,1,0,9,52,1,10,3.32,,Yes,No,no,free,249,Annals of the Rheumatic Diseases,2015,,12.384,,,,,,,,,,,,
140,23223420,140,HIGH,6,moderate_quality,HighRisk_HighQuality,16.9,20.6,19,18.3,18.1,18.6,11.4,6.2,9.2,68,122,1,1,0,1,0,1,1,1,0,1,0,0,7,177,Annals of the Rheumatic Diseases,2013,United Kingdom,3,4,funding,no,1,0,0,0,0,1,10,3.32,,Yes,No,no,IMRAD ,215,Annals of the Rheumatic Diseases,2013,29337,9.27,8.136,8.632,3.291,309,5.6,5.7,0.074,2.655,92.56,8.15581,95,D1
176,23354931,176,HIGH,8,moderate_quality,HighRisk_HighQuality,15.2,19.3,17.4,17.2,15.8,17,19.6,6,9.1,85,153,1,1,1,1,1,1,0,1,1,1,0,0,9,18,Archives of Dermatological Research,2013,Germany,5,2,funding,no,1,0,1,0,0,2,11,3.46,RCTs,Yes,No,no,free,236,Archives of Dermatological Research,2013,2925,2.27,1.957,2.269,0.4,110,8.6,7.4,0.00438,0.574,91.82,0.48259,74.59,Q2
197,22843024,197,HIGH,5,moderate_quality,HighRisk_HighQuality,14.6,17.4,15.6,15.7,14.3,15.5,23.9,5.5,7.9,64,116,1,1,0,0,0,1,1,1,0,1,0,0,6,12,Archives of Dermatological Research,2012,Germany,6,2,UNK,no,0,0,0,0,0,1,11,3.46,RCTs,Yes,No,no,free,239,Archives of Dermatological Research,2012,2853,2.708,2.5,2.363,0.375,104,8.9,8,0.00503,0.653,95.19,NA,80.508,Q1
194,23069736,194,HIGH,9,high_quality,HighRisk_HighQuality,17.2,21.6,16.6,18.9,17.5,18.4,15,6.3,9.9,89,161,0,1,1,1,0,0,1,1,0,1,0,0,6,34,Archives of Dermatology,2012,United States,3,3,funding,no,1,0,0,1,33,1,8,3,RCTs,Yes,No,no,IMRAD ,304,Archives of Dermatology,2012,12875,4.792,4.428,4.64,0.836,128,>10,7.3,0.01884,1.644,95.31,NA,94.068,D1
